Algorithm,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,splitter,R2 Score
Decision Tree Regression,squared_error,5,,2,2,best,0.8802197261624566
Decision Tree Regression,squared_error,5,,2,5,best,0.8802197261624566
Decision Tree Regression,friedman_mse,5,,2,5,best,0.8802197261624566
Decision Tree Regression,friedman_mse,5,,2,2,best,0.8802197261624566
Decision Tree Regression,squared_error,5,sqrt,2,5,best,0.8641418698195009
Decision Tree Regression,friedman_mse,5,sqrt,2,5,best,0.8641418698195009
Decision Tree Regression,friedman_mse,5,sqrt,2,2,best,0.8641418698195009
Decision Tree Regression,friedman_mse,5,sqrt,1,5,best,0.8641418698195009
Decision Tree Regression,squared_error,5,sqrt,1,5,best,0.8641418698195009
Decision Tree Regression,squared_error,5,sqrt,2,2,best,0.8641418698195009
Decision Tree Regression,friedman_mse,10,,2,5,random,0.8505327721244567
Decision Tree Regression,squared_error,10,,2,5,random,0.8505327721244567
Decision Tree Regression,squared_error,5,,1,2,best,0.8420667783377725
Decision Tree Regression,friedman_mse,5,,1,5,best,0.8420667783377725
Decision Tree Regression,friedman_mse,5,,1,2,best,0.8420667783377725
Decision Tree Regression,squared_error,5,,1,5,best,0.8420667783377725
Decision Tree Regression,friedman_mse,15,,2,2,random,0.8379786861555754
Decision Tree Regression,squared_error,15,,2,2,random,0.8379786861555754
Decision Tree Regression,friedman_mse,10,,2,2,best,0.8372233854568767
Decision Tree Regression,squared_error,10,,2,2,best,0.8372233854568767
Decision Tree Regression,squared_error,10,,2,5,best,0.8370611224897087
Decision Tree Regression,friedman_mse,10,,2,5,best,0.8370498962582322
Decision Tree Regression,squared_error,15,,2,5,best,0.8303209414937707
Decision Tree Regression,friedman_mse,15,,2,5,best,0.8303209414937707
Decision Tree Regression,squared_error,15,,2,2,best,0.8275151882217784
Decision Tree Regression,friedman_mse,15,,2,2,best,0.8272995089850936
Decision Tree Regression,squared_error,15,sqrt,2,2,best,0.8270961115890043
Decision Tree Regression,friedman_mse,15,sqrt,2,2,best,0.8270961115890043
Decision Tree Regression,squared_error,5,sqrt,1,2,best,0.8251952273545167
Decision Tree Regression,friedman_mse,5,sqrt,1,2,best,0.8251952273545167
Decision Tree Regression,friedman_mse,15,,2,5,random,0.819811904665877
Decision Tree Regression,squared_error,15,,2,5,random,0.819811904665877
Decision Tree Regression,squared_error,10,,2,2,random,0.8177138759529021
Decision Tree Regression,friedman_mse,10,,2,2,random,0.8177138759529021
Decision Tree Regression,squared_error,10,,1,2,random,0.8115066771275858
Decision Tree Regression,friedman_mse,10,,1,2,random,0.8114222406087306
Decision Tree Regression,friedman_mse,5,,1,5,random,0.8097797643189649
Decision Tree Regression,friedman_mse,5,,1,2,random,0.8097797643189649
Decision Tree Regression,squared_error,5,,1,5,random,0.8097797643189649
Decision Tree Regression,squared_error,5,,1,2,random,0.8097797643189649
Decision Tree Regression,squared_error,5,,2,5,random,0.8092340683386848
Decision Tree Regression,friedman_mse,5,,2,2,random,0.8092340683386848
Decision Tree Regression,squared_error,5,,2,2,random,0.8092340683386848
Decision Tree Regression,friedman_mse,5,,2,5,random,0.8092340683386848
Decision Tree Regression,friedman_mse,15,sqrt,2,2,random,0.8017948186820512
Decision Tree Regression,squared_error,15,sqrt,2,2,random,0.8017948186820512
Decision Tree Regression,friedman_mse,15,,1,5,random,0.7987824375235596
Decision Tree Regression,squared_error,15,,1,5,random,0.7987824375235596
Decision Tree Regression,friedman_mse,10,,1,5,random,0.7975267973328856
Decision Tree Regression,squared_error,10,,1,5,random,0.7975267973328856
Decision Tree Regression,squared_error,15,sqrt,2,5,best,0.7897866545522527
Decision Tree Regression,friedman_mse,15,sqrt,2,5,best,0.7897866545522527
Decision Tree Regression,squared_error,10,sqrt,1,5,best,0.7857704226694031
Decision Tree Regression,friedman_mse,10,sqrt,1,5,best,0.7857704226694031
Decision Tree Regression,friedman_mse,15,,1,5,best,0.7820267835132534
Decision Tree Regression,friedman_mse,10,sqrt,2,5,best,0.7813927038974395
Decision Tree Regression,squared_error,10,sqrt,2,5,best,0.7813073047606129
Decision Tree Regression,squared_error,10,sqrt,1,5,random,0.7811870663762589
Decision Tree Regression,friedman_mse,10,sqrt,1,5,random,0.7811870663762589
Decision Tree Regression,squared_error,15,,1,5,best,0.7805531220516455
Decision Tree Regression,squared_error,15,sqrt,1,5,random,0.779230963572141
Decision Tree Regression,friedman_mse,15,sqrt,1,5,random,0.779230963572141
Decision Tree Regression,squared_error,10,sqrt,2,2,best,0.777003854042865
Decision Tree Regression,friedman_mse,10,sqrt,2,2,best,0.777003854042865
Decision Tree Regression,friedman_mse,10,,1,5,best,0.7749308563723858
Decision Tree Regression,squared_error,10,,1,5,best,0.7734958221508889
Decision Tree Regression,friedman_mse,15,sqrt,1,5,best,0.7724006774568872
Decision Tree Regression,squared_error,15,sqrt,1,5,best,0.7724006774568872
Decision Tree Regression,friedman_mse,15,sqrt,2,5,random,0.763173758048468
Decision Tree Regression,squared_error,15,sqrt,2,5,random,0.763173758048468
Decision Tree Regression,friedman_mse,10,sqrt,1,2,random,0.7594416175675588
Decision Tree Regression,squared_error,10,sqrt,1,2,random,0.7594416175675588
Decision Tree Regression,squared_error,5,sqrt,1,2,random,0.7579079909448189
Decision Tree Regression,friedman_mse,5,sqrt,1,2,random,0.7579079909448189
Decision Tree Regression,squared_error,10,sqrt,2,5,random,0.7577582916126837
Decision Tree Regression,friedman_mse,10,sqrt,2,5,random,0.7577582916126837
Decision Tree Regression,friedman_mse,10,,1,2,best,0.7535827982236222
Decision Tree Regression,squared_error,10,,1,2,best,0.7533205086068209
Decision Tree Regression,squared_error,10,sqrt,1,2,best,0.7380659337383761
Decision Tree Regression,friedman_mse,10,sqrt,1,2,best,0.7380401215220049
Decision Tree Regression,squared_error,15,sqrt,1,2,best,0.7234748745877806
Decision Tree Regression,friedman_mse,15,sqrt,1,2,best,0.7234381314938962
Decision Tree Regression,friedman_mse,15,,1,2,best,0.7152160152661673
Decision Tree Regression,friedman_mse,15,,1,2,random,0.7092864817863536
Decision Tree Regression,squared_error,15,,1,2,random,0.7066362673080232
Decision Tree Regression,squared_error,15,,1,2,best,0.7025379525214571
Decision Tree Regression,squared_error,15,sqrt,1,2,random,0.6881768742002352
Decision Tree Regression,friedman_mse,15,sqrt,1,2,random,0.6876579662859206
Decision Tree Regression,squared_error,5,sqrt,1,5,random,0.5365150635846487
Decision Tree Regression,friedman_mse,5,sqrt,1,5,random,0.5365150635846487
Decision Tree Regression,friedman_mse,5,sqrt,2,5,random,0.5327469397851838
Decision Tree Regression,friedman_mse,5,sqrt,2,2,random,0.5327469397851838
Decision Tree Regression,squared_error,5,sqrt,2,2,random,0.5327469397851838
Decision Tree Regression,squared_error,5,sqrt,2,5,random,0.5327469397851838
Decision Tree Regression,friedman_mse,10,sqrt,2,2,random,0.43608435888752384
Decision Tree Regression,squared_error,10,sqrt,2,2,random,0.43608435888752384
