Algorithm,bootstrap,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,R2 Score
Random Forest Regression,True,friedman_mse,8,sqrt,2,2,300,0.8861856013623661
Random Forest Regression,True,friedman_mse,8,sqrt,2,3,300,0.8861856013623661
Random Forest Regression,True,squared_error,8,sqrt,2,3,300,0.8861701410189864
Random Forest Regression,True,squared_error,8,sqrt,2,2,300,0.8861701410189864
Random Forest Regression,True,squared_error,8,sqrt,3,2,200,0.8851492500319839
Random Forest Regression,True,squared_error,8,sqrt,3,3,200,0.8851492500319839
Random Forest Regression,True,friedman_mse,8,sqrt,3,3,200,0.8851487515476363
Random Forest Regression,True,friedman_mse,8,sqrt,3,2,200,0.8851487515476363
Random Forest Regression,True,friedman_mse,8,sqrt,3,3,300,0.8846842023194936
Random Forest Regression,True,friedman_mse,8,sqrt,3,2,300,0.8846842023194936
Random Forest Regression,True,squared_error,8,sqrt,3,2,300,0.8846780898948317
Random Forest Regression,True,squared_error,8,sqrt,3,3,300,0.8846780898948317
Random Forest Regression,True,friedman_mse,8,sqrt,2,3,200,0.8843112716276914
Random Forest Regression,True,friedman_mse,8,sqrt,2,2,200,0.8843112716276914
Random Forest Regression,True,squared_error,8,sqrt,2,2,200,0.8842897038135215
Random Forest Regression,True,squared_error,8,sqrt,2,3,200,0.8842897038135215
Random Forest Regression,False,squared_error,8,sqrt,2,3,200,0.8835682344887289
Random Forest Regression,False,squared_error,8,sqrt,2,2,200,0.8835682344887289
Random Forest Regression,False,friedman_mse,8,sqrt,2,3,200,0.8835049185977516
Random Forest Regression,False,friedman_mse,8,sqrt,2,2,200,0.8835049185977516
Random Forest Regression,False,squared_error,8,sqrt,3,2,300,0.8835024431482605
Random Forest Regression,False,squared_error,8,sqrt,3,3,300,0.8835024431482605
Random Forest Regression,False,friedman_mse,8,sqrt,3,2,300,0.8834996290781704
Random Forest Regression,False,friedman_mse,8,sqrt,3,3,300,0.8834996290781704
Random Forest Regression,True,squared_error,10,sqrt,3,3,300,0.8834428142517138
Random Forest Regression,True,squared_error,10,sqrt,3,2,300,0.8834428142517138
Random Forest Regression,True,friedman_mse,10,sqrt,3,3,300,0.8834381088881083
Random Forest Regression,True,friedman_mse,10,sqrt,3,2,300,0.8834381088881083
Random Forest Regression,False,squared_error,8,sqrt,3,2,200,0.8832422294389917
Random Forest Regression,False,squared_error,8,sqrt,3,3,200,0.8832422294389917
Random Forest Regression,False,friedman_mse,8,sqrt,3,3,200,0.8832415497991591
Random Forest Regression,False,friedman_mse,8,sqrt,3,2,200,0.8832415497991591
Random Forest Regression,False,squared_error,8,sqrt,2,3,300,0.8832317244234771
Random Forest Regression,False,squared_error,8,sqrt,2,2,300,0.8832317244234771
Random Forest Regression,False,friedman_mse,8,sqrt,2,2,300,0.8831841094034634
Random Forest Regression,False,friedman_mse,8,sqrt,2,3,300,0.8831841094034634
Random Forest Regression,True,squared_error,10,sqrt,3,2,200,0.8828874183115182
Random Forest Regression,True,squared_error,10,sqrt,3,3,200,0.8828874183115182
Random Forest Regression,True,friedman_mse,10,sqrt,3,2,200,0.8828762617832127
Random Forest Regression,True,friedman_mse,10,sqrt,3,3,200,0.8828762617832127
Random Forest Regression,True,squared_error,12,sqrt,3,3,300,0.8824940777534156
Random Forest Regression,True,squared_error,12,sqrt,3,2,300,0.8824940777534156
Random Forest Regression,True,squared_error,12,sqrt,3,3,200,0.8824921120753307
