Algorithm,kernel,C,gamma,degree,coef0,epsilon,R2 Score
Support Vector Regression,linear,10,,,,0.1,0.462468414
Support Vector Regression,linear,10,,,,0.5,0.462460209
Support Vector Regression,sigmoid,10,auto,,0,0.5,0.039307144
Support Vector Regression,sigmoid,10,scale,,0,0.1,0.039307144
Support Vector Regression,sigmoid,10,scale,,0,0.5,0.039307144
Support Vector Regression,sigmoid,10,auto,,0,0.1,0.039307144
Support Vector Regression,poly,10,scale,3,,0.1,0.038716223
Support Vector Regression,poly,10,auto,3,,0.1,0.038716223
Support Vector Regression,poly,10,auto,3,,0.5,0.038701145
Support Vector Regression,poly,10,scale,3,,0.5,0.038701145
Support Vector Regression,poly,10,scale,4,,0.1,0.009871581
Support Vector Regression,poly,10,auto,4,,0.1,0.009871581
Support Vector Regression,poly,10,scale,4,,0.5,0.009854078
Support Vector Regression,poly,10,auto,4,,0.5,0.009854078
Support Vector Regression,linear,1,,,,0.5,-0.010102665
Support Vector Regression,linear,1,,,,0.1,-0.010102665
Support Vector Regression,rbf,10,0.1,,,0.5,-0.028197712
Support Vector Regression,rbf,10,0.1,,,0.1,-0.028197712
Support Vector Regression,sigmoid,10,auto,,1,0.5,-0.029313279
Support Vector Regression,sigmoid,10,scale,,1,0.1,-0.029313279
Support Vector Regression,sigmoid,10,scale,,1,0.5,-0.029313279
Support Vector Regression,sigmoid,10,auto,,1,0.1,-0.029313279
Support Vector Regression,rbf,10,scale,,,0.1,-0.032273294
Support Vector Regression,rbf,10,auto,,,0.1,-0.032273294
Support Vector Regression,rbf,10,scale,,,0.5,-0.032273634
Support Vector Regression,rbf,10,auto,,,0.5,-0.032273634
Support Vector Regression,poly,10,scale,2,,0.1,-0.032303464
Support Vector Regression,poly,10,auto,2,,0.1,-0.032303464
Support Vector Regression,poly,10,scale,2,,0.5,-0.032324794
Support Vector Regression,poly,10,auto,2,,0.5,-0.032324794
Support Vector Regression,rbf,10,0.01,,,0.5,-0.074019412
Support Vector Regression,rbf,10,0.01,,,0.1,-0.074019412
Support Vector Regression,sigmoid,1,auto,,0,0.5,-0.075429243
Support Vector Regression,sigmoid,1,scale,,0,0.1,-0.075429243
Support Vector Regression,sigmoid,1,scale,,0,0.5,-0.075429243
Support Vector Regression,sigmoid,1,auto,,0,0.1,-0.075429243
Support Vector Regression,poly,1,auto,3,,0.5,-0.075699656
Support Vector Regression,poly,1,auto,3,,0.1,-0.075699656
Support Vector Regression,poly,1,scale,3,,0.1,-0.075699656
Support Vector Regression,poly,1,scale,3,,0.5,-0.075699656
Support Vector Regression,poly,1,scale,4,,0.1,-0.0790338
Support Vector Regression,poly,1,scale,4,,0.5,-0.0790338
Support Vector Regression,poly,1,auto,4,,0.5,-0.0790338
Support Vector Regression,poly,1,auto,4,,0.1,-0.0790338
Support Vector Regression,linear,0.1,,,,0.1,-0.080959968
Support Vector Regression,linear,0.1,,,,0.5,-0.080959968
Support Vector Regression,rbf,1,0.1,,,0.5,-0.0828949
Support Vector Regression,rbf,1,0.1,,,0.1,-0.0828949
Support Vector Regression,sigmoid,1,scale,,1,0.5,-0.08303094
Support Vector Regression,sigmoid,1,auto,,1,0.5,-0.08303094
Support Vector Regression,sigmoid,1,scale,,1,0.1,-0.08303094
Support Vector Regression,sigmoid,1,auto,,1,0.1,-0.08303094
Support Vector Regression,rbf,1,auto,,,0.5,-0.083382386
Support Vector Regression,rbf,1,scale,,,0.5,-0.083382386
Support Vector Regression,rbf,1,auto,,,0.1,-0.083382386
Support Vector Regression,rbf,1,scale,,,0.1,-0.083382386
Support Vector Regression,poly,1,auto,2,,0.5,-0.08373296
Support Vector Regression,poly,1,auto,2,,0.1,-0.08373296
Support Vector Regression,poly,1,scale,2,,0.1,-0.08373296
Support Vector Regression,poly,1,scale,2,,0.5,-0.08373296
Support Vector Regression,rbf,1,0.01,,,0.1,-0.088127739
Support Vector Regression,rbf,1,0.01,,,0.5,-0.088127739
Support Vector Regression,rbf,0.1,0.1,,,0.1,-0.089025775
Support Vector Regression,rbf,0.1,0.1,,,0.5,-0.089025775
Support Vector Regression,rbf,0.1,auto,,,0.5,-0.089074515
Support Vector Regression,rbf,0.1,scale,,,0.5,-0.089074515
Support Vector Regression,rbf,0.1,auto,,,0.1,-0.089074515
Support Vector Regression,rbf,0.1,scale,,,0.1,-0.089074515
Support Vector Regression,rbf,0.1,0.01,,,0.5,-0.089550788
Support Vector Regression,rbf,0.1,0.01,,,0.1,-0.089550788
